                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
111,0.027424,0.029507,0.030959,0.0072016,0.57683,0.35146,0.36073,0.21016,0.46638,0.35869,0.32947,0.17698,0.040206,0.049288,0.067482,0.029178,0.0072775,0.0072775,0.0072775
182,0.021962,0.024847,0.025174,0.0052662,0.55173,0.41342,0.39504,0.23061,0.52809,0.39299,0.36777,0.18971,0.034144,0.049314,0.076991,0.031055,0.0055202,0.0055202,0.0055202
23,0.041322,0.039635,0.053422,0.014609,0.25279,0.29584,0.18406,0.094281,0.23159,0.29265,0.1676,0.081955,0.044597,0.049562,0.057149,0.035468,0.0094555,0.0094555,0.0094555
76,0.03015,0.031523,0.032428,0.0076598,0.52288,0.28549,0.28398,0.16678,0.51016,0.28637,0.27308,0.13983,0.04331,0.049564,0.070385,0.027145,0.0081437,0.0081437,0.0081437
89,0.028598,0.030404,0.033571,0.006525,0.38896,0.30328,0.26241,0.14275,0.36033,0.27828,0.23793,0.11761,0.040495,0.049572,0.062114,0.02303,0.007822,0.007822,0.007822
158,0.022224,0.023962,0.026553,0.0051082,0.49255,0.34343,0.38039,0.22878,0.4723,0.33594,0.3536,0.18508,0.032447,0.049577,0.074821,0.020695,0.0061142,0.0061142,0.0061142
16,0.047534,0.045236,0.056561,0.019421,0.25226,0.31603,0.21954,0.090102,0.2551,0.3139,0.20795,0.079894,0.042633,0.049783,0.056725,0.029077,0.0096288,0.0096288,0.0096288
191,0.021723,0.022437,0.024248,0.0033978,0.56342,0.36841,0.39438,0.22414,0.54215,0.36092,0.37529,0.18674,0.040002,0.049787,0.081334,0.027155,0.0052975,0.0052975,0.0052975
157,0.020831,0.024103,0.027361,0.0044614,0.46058,0.42253,0.3762,0.22162,0.43082,0.39592,0.34163,0.18257,0.033226,0.049804,0.071903,0.01832,0.006139,0.006139,0.006139
197,0.021038,0.023447,0.024583,0.0038451,0.51804,0.39295,0.40841,0.22545,0.58836,0.36833,0.38631,0.18804,0.032815,0.049807,0.081869,0.024435,0.005149,0.005149,0.005149
28,0.038746,0.041255,0.05062,0.012105,0.29282,0.28659,0.24109,0.1213,0.25759,0.28202,0.20834,0.11261,0.039263,0.049889,0.056311,0.027493,0.0093317,0.0093317,0.0093317
29,0.037913,0.038917,0.048515,0.011697,0.45804,0.38585,0.4052,0.21284,0.44484,0.3934,0.40237,0.18435,0.036549,0.049978,0.053649,0.035248,0.009307,0.009307,0.009307
190,0.021181,0.02203,0.023737,0.0038914,0.53593,0.29121,0.32399,0.18246,0.48754,0.26874,0.2956,0.1502,0.038487,0.049982,0.086058,0.024161,0.0053223,0.0053223,0.0053223
192,0.020623,0.023048,0.025206,0.0036142,0.56805,0.44133,0.44224,0.23726,0.54332,0.42658,0.41864,0.20149,0.038429,0.049996,0.079801,0.024307,0.0052727,0.0052727,0.0052727
34,0.037294,0.036992,0.04609,0.012028,0.46232,0.35345,0.30577,0.14641,0.44245,0.34222,0.2788,0.13692,0.042222,0.05003,0.056053,0.016832,0.0091833,0.0091833,0.0091833
183,0.02228,0.024111,0.02653,0.0040517,0.57774,0.40324,0.41183,0.23314,0.56034,0.38879,0.37639,0.18977,0.035191,0.050321,0.076175,0.033046,0.0054955,0.0054955,0.0054955
187,0.021095,0.02226,0.024817,0.0044124,0.61069,0.347,0.36545,0.22505,0.59134,0.33577,0.34821,0.19344,0.036653,0.050657,0.087601,0.020425,0.0053965,0.0053965,0.0053965
169,0.02243,0.023162,0.024813,0.0034969,0.48367,0.34997,0.33271,0.19999,0.471,0.33874,0.30216,0.17047,0.034136,0.050724,0.083165,0.028917,0.005842,0.005842,0.005842
14,0.051074,0.046269,0.055799,0.021408,0.36966,0.32429,0.26548,0.10044,0.35145,0.32054,0.22536,0.10911,0.049832,0.050747,0.07088,0.020341,0.0096783,0.0096783,0.0096783
133,0.026279,0.026535,0.027521,0.0051482,0.51832,0.33695,0.33449,0.18373,0.51371,0.3325,0.31244,0.15258,0.035805,0.05089,0.07559,0.033614,0.006733,0.006733,0.006733
193,0.020823,0.022118,0.023804,0.004425,0.65401,0.393,0.43652,0.24365,0.63722,0.38551,0.41844,0.21385,0.03835,0.050987,0.07753,0.039954,0.005248,0.005248,0.005248
6,0.057878,0.053509,0.059642,0.030921,0.067728,0.19293,0.071608,0.021925,0.075353,0.13401,0.059959,0.019408,0.060113,0.051003,0.062564,0.027562,0.050418,0.0054183,0.0054183
13,0.050185,0.047444,0.059174,0.022476,0.27954,0.22292,0.151,0.06855,0.26176,0.15919,0.12241,0.0628,0.051122,0.051009,0.056337,0.018507,0.009703,0.009703,0.009703
185,0.022195,0.022971,0.026233,0.0050223,0.53163,0.33349,0.3522,0.17849,0.48922,0.30264,0.30096,0.1479,0.035972,0.051087,0.079456,0.033151,0.005446,0.005446,0.005446
124,0.02533,0.027655,0.030324,0.0060873,0.40039,0.31319,0.30662,0.1796,0.42974,0.34821,0.32625,0.17157,0.036652,0.051103,0.070708,0.026958,0.0069558,0.0069558,0.0069558
186,0.019589,0.024079,0.024967,0.0042627,0.43716,0.25008,0.26345,0.1451,0.4603,0.2622,0.26984,0.13623,0.036573,0.051116,0.086954,0.041757,0.0054212,0.0054212,0.0054212
125,0.026419,0.02753,0.029825,0.0066032,0.46811,0.28373,0.28594,0.16333,0.45248,0.26875,0.26887,0.14762,0.03917,0.051249,0.069644,0.033577,0.006931,0.006931,0.006931
131,0.023856,0.025006,0.029036,0.0039629,0.55412,0.33744,0.36958,0.21513,0.51756,0.31954,0.33723,0.1723,0.037377,0.05148,0.082158,0.0245,0.0067825,0.0067825,0.0067825
79,0.030541,0.030842,0.036374,0.0067643,0.40957,0.30345,0.26602,0.16137,0.39092,0.2839,0.24966,0.13263,0.040616,0.051502,0.065715,0.038928,0.0080695,0.0080695,0.0080695
31,0.038852,0.037478,0.044081,0.011711,0.34025,0.42432,0.3186,0.15245,0.34474,0.41028,0.28852,0.12688,0.035612,0.051553,0.056984,0.016292,0.0092575,0.0092575,0.0092575
137,0.025006,0.026311,0.027858,0.0069596,0.28832,0.2832,0.24275,0.1359,0.32272,0.275,0.22114,0.11077,0.041387,0.051564,0.068757,0.037578,0.006634,0.006634,0.006634
9,0.054322,0.049766,0.06527,0.027879,0.19155,0.34739,0.16981,0.083044,0.188,0.34447,0.16288,0.073588,0.047721,0.051574,0.076553,0.028986,0.028724,0.007724,0.007724
57,0.03075,0.035735,0.042091,0.0079776,0.47316,0.3736,0.33152,0.16611,0.45607,0.35359,0.2987,0.13915,0.042231,0.051635,0.060056,0.025557,0.008614,0.008614,0.008614
58,0.032718,0.034508,0.040648,0.0087759,0.42145,0.4798,0.38286,0.20484,0.40246,0.45374,0.35575,0.16723,0.043426,0.051649,0.06287,0.026939,0.0085893,0.0085893,0.0085893
59,0.032975,0.033246,0.036978,0.0085816,0.28708,0.51446,0.29822,0.14699,0.30905,0.39613,0.25485,0.10933,0.042438,0.051696,0.060313,0.031696,0.0085645,0.0085645,0.0085645
128,0.025293,0.027454,0.029695,0.0051915,0.40521,0.36209,0.33009,0.17503,0.41126,0.35137,0.30484,0.14854,0.038831,0.051751,0.065179,0.015501,0.0068568,0.0068568,0.0068568
4,0.062753,0.062409,0.071946,0.033061,0.096608,0.38608,0.09236,0.030278,0.10797,0.33282,0.073367,0.03045,0.051937,0.05189,0.067499,0.031659,0.064861,0.0038614,0.0038614
8,0.055908,0.05127,0.063247,0.028886,0.11322,0.34571,0.10006,0.040307,0.1203,0.31728,0.089958,0.035442,0.049477,0.052233,0.06002,0.029764,0.035959,0.0069594,0.0069594
184,0.020999,0.022332,0.025266,0.0043312,0.4798,0.43498,0.38292,0.20291,0.45339,0.40788,0.34908,0.169,0.036174,0.052576,0.075988,0.034236,0.0054707,0.0054707,0.0054707
11,0.053972,0.047587,0.055962,0.026144,0.14436,0.31321,0.15222,0.057428,0.14288,0.30279,0.14743,0.059783,0.049033,0.052807,0.056788,0.028413,0.014241,0.0092414,0.0092414
10,0.055234,0.049686,0.062331,0.027286,0.10448,0.28564,0.12015,0.059783,0.10243,0.25861,0.10555,0.047347,0.045745,0.053103,0.05299,0.025163,0.021485,0.0084847,0.0084847
132,0.024214,0.02582,0.026877,0.0052871,0.54142,0.32756,0.36738,0.20734,0.52987,0.32007,0.34608,0.17391,0.037869,0.053262,0.080146,0.027589,0.0067577,0.0067577,0.0067577
35,0.0365,0.03625,0.045773,0.011116,0.32845,0.19875,0.13823,0.065549,0.32913,0.18751,0.13152,0.051559,0.043533,0.053687,0.061624,0.047708,0.0091585,0.0091585,0.0091585
15,0.047469,0.04568,0.058882,0.018414,0.1591,0.37934,0.1556,0.054363,0.13198,0.30429,0.12992,0.049728,0.050339,0.053966,0.053966,0.034158,0.0096535,0.0096535,0.0096535
19,0.044065,0.042698,0.052467,0.016259,0.20885,0.18704,0.12133,0.043756,0.22314,0.16453,0.10248,0.040131,0.054847,0.054529,0.053702,0.025777,0.0095545,0.0095545,0.0095545
32,0.037796,0.037186,0.043408,0.01321,0.54751,0.18928,0.24983,0.12656,0.44094,0.22849,0.24304,0.098234,0.038452,0.054581,0.061904,0.02504,0.0092327,0.0092327,0.0092327
47,0.034028,0.035764,0.040249,0.011242,0.44706,0.21325,0.19925,0.09721,0.40084,0.18108,0.16305,0.063887,0.045174,0.054724,0.061307,0.015836,0.0088615,0.0088615,0.0088615
17,0.045303,0.043112,0.053459,0.01838,0.19396,0.30503,0.17327,0.078914,0.22737,0.24089,0.14901,0.061439,0.048521,0.055699,0.055461,0.014935,0.009604,0.009604,0.009604
3,0.071896,0.07035,0.080147,0.036133,0.058707,0.33114,0.033668,0.010827,0.0866,0.2537,0.034081,0.011541,0.058112,0.058481,0.084154,0.034525,0.072077,0.003077,0.003077
24,0.039761,0.040922,0.049684,0.015332,0.31011,0.2112,0.15602,0.071412,0.33125,0.17139,0.1476,0.060012,0.049018,0.058684,0.058483,0.038086,0.0094307,0.0094307,0.0094307
