                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0619,                 1.3206,                 1.4877,                0.52155,                0.46651,                0.44914,                0.30504,                 1.2895,                 1.7338,                 1.8345,               0.006634,               0.006634,               0.006634
                     36,                 1.0621,                 1.3183,                  1.496,                0.51598,                0.51287,                0.48048,                0.31989,                 1.2146,                 1.6793,                 1.7498,               0.006535,               0.006535,               0.006535
                     37,                 1.0543,                  1.314,                 1.4886,                0.43215,                 0.3498,                 0.4042,                0.26619,                 1.3496,                 2.0763,                 1.8979,               0.006436,               0.006436,               0.006436
                     38,                 1.0389,                 1.2858,                 1.4763,                0.58863,                0.44161,                0.44731,                 0.2955,                 1.3773,                   1.63,                 1.9123,               0.006337,               0.006337,               0.006337
                     39,                 1.0396,                 1.2996,                 1.4749,                0.77983,                0.30285,                0.40582,                0.27489,                 1.3848,                 1.7979,                 1.9213,               0.006238,               0.006238,               0.006238
                     40,                 1.0321,                 1.2672,                 1.4723,                0.56279,                0.45878,                0.49544,                0.31935,                 1.2551,                 1.6289,                 1.8085,               0.006139,               0.006139,               0.006139
                     41,                 1.0386,                 1.2907,                 1.4738,                0.47028,                0.42495,                0.36648,                0.25828,                 1.3438,                 2.0983,                 1.8858,                0.00604,                0.00604,                0.00604
                     42,                 1.0235,                  1.244,                 1.4695,                0.50653,                0.53161,                0.50725,                0.33926,                 1.1471,                 1.3845,                 1.6686,               0.005941,               0.005941,               0.005941
                     43,                  1.037,                 1.2642,                 1.4685,                0.58727,                0.43072,                0.45689,                0.30073,                 1.3423,                 1.7992,                 1.8755,               0.005842,               0.005842,               0.005842
                     44,                 1.0211,                 1.2691,                 1.4602,                 0.5761,                 0.4193,                0.49892,                 0.3184,                  1.326,                 1.7727,                 1.8758,               0.005743,               0.005743,               0.005743
                     45,                 1.0085,                  1.247,                 1.4479,                0.59593,                0.47055,                0.52313,                0.35755,                 1.2152,                 1.5434,                 1.7289,               0.005644,               0.005644,               0.005644
                     46,                  1.002,                 1.2228,                 1.4398,                0.55541,                 0.5141,                0.51037,                0.34247,                 1.2021,                 1.5855,                 1.7377,               0.005545,               0.005545,               0.005545
                     47,                0.99946,                 1.2115,                 1.4345,                0.59548,                0.45491,                0.50819,                 0.3393,                  1.197,                 1.7763,                 1.7335,               0.005446,               0.005446,               0.005446
                     48,                0.98462,                 1.2252,                 1.4354,                0.68022,                0.20792,                0.24298,                0.10406,                 2.4736,                 3.0491,                 3.2801,               0.005347,               0.005347,               0.005347
                     49,                 0.9806,                 1.1991,                 1.4278,                 0.9142,                0.18472,                0.39967,                0.27295,                  1.397,                 2.8496,                 1.9431,               0.005248,               0.005248,               0.005248
                     50,                0.99083,                 1.2002,                 1.4328,                0.64189,                0.33867,                0.37435,                0.25398,                 1.4606,                 2.2493,                 2.0359,               0.005149,               0.005149,               0.005149
                     51,                0.98221,                 1.2114,                 1.4293,                0.59654,                 0.4743,                0.49971,                0.34879,                 1.1309,                 1.4413,                 1.6593,                0.00505,                0.00505,                0.00505
                     52,                0.99968,                 1.2105,                 1.4436,                0.76335,                 0.3551,                0.44475,                0.30479,                 1.2534,                 1.6808,                 1.8157,               0.004951,               0.004951,               0.004951
                     53,                0.99314,                 1.2046,                 1.4359,                0.63098,                0.40821,                0.44523,                0.31164,                 1.3632,                 1.7968,                 1.9604,               0.004852,               0.004852,               0.004852
