               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.031989,            0.073078,           0.0081517,             0.71942,             0.32115,             0.34155,             0.20948,            0.035947,            0.060299,            0.015675,            0.006436,            0.006436,            0.006436
                  38,             0.03166,            0.073661,           0.0079656,             0.62512,             0.44407,             0.49406,              0.3038,            0.033109,            0.057017,            0.010219,            0.006337,            0.006337,            0.006337
                  39,            0.031464,             0.07412,           0.0078728,             0.77512,             0.35727,             0.39757,             0.25932,            0.033047,            0.062176,             0.01513,            0.006238,            0.006238,            0.006238
                  40,            0.031994,            0.073056,           0.0082218,             0.61131,             0.50825,             0.51185,             0.31101,             0.03308,            0.057406,            0.008466,            0.006139,            0.006139,            0.006139
                  41,            0.031382,            0.074775,           0.0080964,             0.60422,              0.4453,             0.46412,             0.28667,            0.033237,            0.055866,            0.013454,             0.00604,             0.00604,             0.00604
                  42,            0.032066,             0.07406,           0.0080272,             0.58204,             0.53227,             0.55052,             0.33954,            0.029483,            0.054224,           0.0072678,            0.005941,            0.005941,            0.005941
                  43,             0.03128,            0.072987,           0.0081681,             0.74632,             0.29545,             0.37941,             0.24126,            0.037444,            0.065057,            0.013537,            0.005842,            0.005842,            0.005842
                  44,            0.030788,            0.072836,           0.0076171,             0.65193,             0.40077,             0.49168,             0.30407,            0.031447,            0.056757,            0.010577,            0.005743,            0.005743,            0.005743
                  45,            0.031153,            0.073273,            0.008034,             0.50134,             0.51662,             0.52761,             0.32222,            0.029252,            0.056596,           0.0087933,            0.005644,            0.005644,            0.005644
                  46,            0.031805,            0.072913,           0.0076529,             0.62415,              0.4738,             0.53091,             0.33337,            0.031304,            0.054559,           0.0079109,            0.005545,            0.005545,            0.005545
                  47,            0.031203,            0.073846,           0.0080048,             0.58046,             0.52189,             0.52876,             0.30106,            0.031021,            0.054716,            0.010008,            0.005446,            0.005446,            0.005446
                  48,            0.030859,             0.07206,           0.0075092,             0.54263,             0.59478,             0.56708,             0.32934,            0.031417,            0.054726,           0.0073627,            0.005347,            0.005347,            0.005347
                  49,            0.030152,            0.069891,           0.0073148,             0.59607,             0.53675,             0.54067,             0.34654,              0.0321,            0.053384,           0.0076042,            0.005248,            0.005248,            0.005248
                  50,            0.030514,            0.072325,           0.0075739,              0.6344,             0.46444,             0.50102,             0.32289,            0.033415,            0.055752,           0.0095264,            0.005149,            0.005149,            0.005149
                  51,            0.029968,            0.071524,           0.0080261,             0.63824,             0.52111,             0.56134,             0.34971,            0.029821,            0.059186,           0.0089134,             0.00505,             0.00505,             0.00505
                  52,            0.030065,            0.071655,           0.0067659,             0.64715,             0.44362,             0.48133,              0.3026,            0.030791,            0.055372,            0.010731,            0.004951,            0.004951,            0.004951
                  53,            0.029702,            0.073384,           0.0072611,             0.47179,             0.54138,              0.5185,             0.30367,            0.029532,            0.055939,            0.008062,            0.004852,            0.004852,            0.004852
                  54,            0.029923,            0.071256,           0.0068578,             0.60468,               0.533,             0.54394,              0.3435,               0.029,            0.054705,           0.0075558,            0.004753,            0.004753,            0.004753
                  55,            0.030103,            0.070821,           0.0072996,             0.53359,             0.56316,             0.56341,             0.35372,            0.029644,            0.055734,            0.011055,            0.004654,            0.004654,            0.004654
                  56,            0.030001,            0.071475,           0.0073427,             0.62723,              0.5054,                0.52,             0.33375,            0.029738,            0.059323,           0.0078568,            0.004555,            0.004555,            0.004555
                  57,            0.029306,              0.0699,            0.006501,             0.59722,             0.52365,             0.56821,             0.35429,            0.029984,            0.057122,           0.0099155,            0.004456,            0.004456,            0.004456
                  58,            0.029433,            0.070919,           0.0074822,              0.5137,             0.48451,             0.48935,             0.29545,            0.031335,            0.059158,           0.0094025,            0.004357,            0.004357,            0.004357
                  59,            0.029092,            0.071739,           0.0073751,             0.62487,             0.48925,             0.52874,              0.3445,            0.031155,            0.053395,           0.0098179,            0.004258,            0.004258,            0.004258
                  60,             0.02906,            0.071657,           0.0072121,              0.6253,             0.54504,             0.56776,             0.36624,            0.028232,            0.054438,           0.0076724,            0.004159,            0.004159,            0.004159
                  61,            0.029439,            0.070902,           0.0069324,             0.56929,             0.56891,             0.57801,             0.36497,            0.029166,            0.054481,           0.0089481,             0.00406,             0.00406,             0.00406
                  62,            0.029425,            0.069935,           0.0071712,             0.60081,             0.56929,             0.55269,             0.35068,             0.03025,             0.05357,            0.010638,            0.003961,            0.003961,            0.003961
                  63,            0.028992,            0.069673,           0.0072175,             0.68859,             0.42733,             0.50413,             0.32884,            0.029152,            0.054557,           0.0083811,            0.003862,            0.003862,            0.003862
                  64,            0.028905,            0.071537,           0.0071855,             0.63984,             0.59835,             0.60906,             0.39289,            0.029036,            0.052275,           0.0097733,            0.003763,            0.003763,            0.003763
                  65,            0.028193,            0.070669,           0.0064956,             0.62831,             0.54179,             0.60421,             0.39333,            0.027845,            0.055654,           0.0072495,            0.003664,            0.003664,            0.003664
                  66,            0.028748,            0.070257,           0.0064327,             0.61524,             0.53297,               0.584,             0.37774,            0.029127,             0.05445,           0.0078255,            0.003565,            0.003565,            0.003565
                  67,            0.028226,            0.071425,           0.0061005,             0.56836,             0.60272,             0.59828,             0.37947,             0.02984,             0.05293,            0.009343,            0.003466,            0.003466,            0.003466
                  68,            0.028018,            0.071494,           0.0061018,             0.61486,             0.56132,             0.58972,              0.3548,            0.028816,            0.052129,           0.0084801,            0.003367,            0.003367,            0.003367
                  69,            0.027117,            0.068246,            0.005766,             0.58957,             0.55152,             0.55381,             0.36706,            0.027889,            0.056411,            0.010618,            0.003268,            0.003268,            0.003268
                  70,            0.027722,            0.070047,           0.0064509,             0.56226,             0.58667,             0.56694,             0.36788,            0.028207,            0.053761,           0.0084755,            0.003169,            0.003169,            0.003169
                  71,            0.027801,            0.069764,           0.0060025,              0.5825,             0.58869,             0.59209,             0.39328,            0.027842,            0.052777,           0.0086681,             0.00307,             0.00307,             0.00307
                  72,             0.02715,            0.067534,           0.0057334,             0.63376,             0.54246,             0.56177,             0.37702,              0.0282,            0.053856,           0.0089369,            0.002971,            0.002971,            0.002971
                  73,            0.027561,            0.067576,           0.0058541,             0.61787,             0.56653,             0.58183,             0.39297,            0.029317,            0.053304,           0.0079941,            0.002872,            0.002872,            0.002872
                  74,            0.027514,            0.069689,           0.0062334,             0.61818,             0.57357,             0.58022,             0.37749,            0.028439,            0.056919,           0.0072147,            0.002773,            0.002773,            0.002773
                  75,            0.027123,            0.069247,           0.0059914,             0.59181,             0.53415,             0.55203,             0.36342,            0.029347,            0.056659,           0.0075081,            0.002674,            0.002674,            0.002674
                  76,            0.026694,            0.068069,           0.0055707,             0.65182,             0.56227,             0.58267,              0.3879,            0.028644,            0.052688,           0.0082039,            0.002575,            0.002575,            0.002575
                  77,            0.026725,            0.068077,           0.0057417,             0.57402,             0.61595,             0.60792,             0.40887,             0.02656,            0.051255,           0.0073641,            0.002476,            0.002476,            0.002476
                  78,            0.026215,            0.067409,            0.005654,             0.58454,             0.56994,             0.59772,             0.40089,            0.027571,            0.053586,            0.008284,            0.002377,            0.002377,            0.002377
                  79,            0.026287,            0.068519,            0.005395,             0.62472,             0.64363,             0.62554,              0.4225,            0.026506,            0.053961,           0.0071682,            0.002278,            0.002278,            0.002278
                  80,            0.026225,            0.069142,           0.0053823,             0.66281,             0.56303,             0.61679,             0.41205,            0.026144,            0.051884,           0.0063072,            0.002179,            0.002179,            0.002179
                  81,            0.025983,            0.067511,           0.0053517,               0.597,             0.60026,              0.6091,             0.40765,            0.026851,            0.052445,           0.0076817,             0.00208,             0.00208,             0.00208
                  82,             0.02597,            0.068196,           0.0055408,             0.64598,             0.58617,             0.60305,             0.40353,            0.029088,             0.05233,           0.0071552,            0.001981,            0.001981,            0.001981
                  83,            0.025616,            0.065838,           0.0047453,             0.59306,             0.60962,              0.6153,             0.41189,            0.027278,            0.055015,           0.0077854,            0.001882,            0.001882,            0.001882
