                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.9346,                 3.9127,                 3.0482,                 2.4706,                0.37111,                0.01498,                0.02506,                0.00945,                0.37418,                0.01498,                0.02559,                0.00778,                 2.2883,                 4.5646,                 3.7613,                  3.138,              0.0094307,              0.0094307,              0.0094307
                     25,                 1.9372,                 3.9005,                 3.0435,                 2.4654,                0.41606,                0.05794,                0.04015,                 0.0147,                0.41672,                0.05794,                0.03692,                0.01292,                 2.5614,                 4.8659,                 5.1432,                 3.3674,               0.009406,               0.009406,               0.009406
                     26,                 1.9243,                  3.853,                 3.0034,                 2.4373,                0.43865,                0.08328,                0.06838,                0.02309,                0.40706,                 0.0683,                0.04163,                0.01277,                 2.3548,                 4.6728,                 3.3091,                 3.0591,              0.0093813,              0.0093813,              0.0093813
                     27,                 1.8506,                 3.8136,                 2.9438,                 2.3776,                0.07982,                0.11412,                0.07162,                0.02874,                0.09383,                0.13373,                0.06482,                0.02129,                 2.0816,                  4.178,                 3.2231,                 2.8405,              0.0093565,              0.0093565,              0.0093565
                     28,                 1.8652,                 3.7905,                 2.9549,                 2.3992,                0.37475,                 0.1432,                0.04047,                0.01571,                0.37954,                0.15069,                0.04423,                 0.0174,                 2.2882,                 4.4468,                 4.9313,                 3.1169,              0.0093317,              0.0093317,              0.0093317
                     29,                 1.8509,                 3.8204,                 2.9338,                 2.4138,                0.02613,                0.14122,                0.01358,                0.00511,                0.03199,                0.11412,                0.02273,                0.00529,                 2.3686,                 4.7947,                 7.2759,                 3.1275,               0.009307,               0.009307,               0.009307
                     30,                 1.8373,                 3.8263,                 2.9675,                 2.4019,                0.40945,                0.10663,                0.04512,                0.01411,                0.39413,                0.09077,                0.03455,                0.01014,                 2.0451,                 4.3407,                 3.6171,                 2.8989,              0.0092823,              0.0092823,              0.0092823
                     31,                 1.8556,                 3.8847,                 2.9856,                 2.3981,                0.50062,                0.20291,                0.08666,                 0.0347,                0.50691,                 0.2104,                0.08862,                0.02613,                 2.1304,                 4.3053,                 4.1102,                 2.8366,              0.0092575,              0.0092575,              0.0092575
                     32,                 1.9052,                 3.8041,                 2.9249,                 2.4044,                0.52868,                0.13924,                0.10154,                0.03806,                0.54575,                0.17383,                0.12112,                0.04575,                 2.1788,                 4.3055,                 3.2098,                 2.8915,              0.0092327,              0.0092327,              0.0092327
                     33,                 1.8237,                   3.79,                 2.8936,                 2.3628,                0.47451,                0.03833,                0.02952,                0.00836,                 0.3808,                 0.0954,                0.03763,                0.01131,                 2.9447,                 4.5701,                 10.151,                 3.8105,               0.009208,               0.009208,               0.009208
                     34,                 1.8883,                 3.8665,                 2.8886,                 2.4043,                0.45698,                0.12448,                0.09516,                0.04189,                0.46034,                0.12822,                  0.086,                0.03076,                 2.0203,                 4.7518,                 3.2577,                 2.7092,              0.0091833,              0.0091833,              0.0091833
                     35,                 1.8469,                 3.7853,                 2.9198,                 2.3876,                0.49312,                0.14497,                0.10075,                0.04458,                0.47986,                0.13373,                0.08315,                0.02743,                 2.0751,                 4.7273,                 3.6293,                 2.8078,              0.0091585,              0.0091585,              0.0091585
                     36,                 1.8285,                  3.736,                 2.8789,                 2.3702,                0.43193,                0.20467,                0.08227,                0.03644,                0.41597,                0.17383,                0.06361,                0.01928,                 2.1016,                  4.983,                 4.4231,                 2.8966,              0.0091337,              0.0091337,              0.0091337
                     37,                 1.8016,                 3.6966,                  2.883,                 2.3304,                 0.5909,                0.17528,                0.16006,                0.07042,                0.55348,                0.17153,                0.14284,                 0.0412,                 2.0227,                 4.5737,                 3.4401,                 2.8239,               0.009109,               0.009109,               0.009109
                     38,                 1.7937,                  3.749,                 2.8169,                  2.305,                0.46507,                0.13087,                0.08898,                0.02676,                0.42739,                0.08416,                0.05769,                0.01384,                 2.1001,                 4.5916,                 3.5749,                 2.8889,              0.0090843,              0.0090843,              0.0090843
                     39,                 1.8137,                 3.6605,                 2.8309,                 2.3255,                0.38444,                0.13836,                0.02732,                0.01001,                0.39135,                0.04957,                0.01351,                0.00295,                 2.5729,                 5.2091,                 7.5952,                 3.4116,              0.0090595,              0.0090595,              0.0090595
                     40,                 1.7972,                 3.6823,                 2.8291,                 2.3019,                0.56834,                0.10663,                0.13599,                0.04888,                0.57707,                0.10663,                0.11983,                0.03342,                 1.9873,                 4.8393,                 3.2717,                 2.8143,              0.0090347,              0.0090347,              0.0090347
                     41,                 1.7978,                 3.7067,                 2.8184,                 2.3227,                0.44801,                0.19904,                0.11255,                0.04934,                0.44777,                0.23926,                0.12051,                0.04924,                 2.2491,                 4.3532,                 4.3654,                 3.0097,                0.00901,                0.00901,                0.00901
                     42,                 1.7922,                 3.6893,                 2.7384,                 2.3194,                0.41836,                0.15334,                0.08616,                0.03678,                0.43365,                0.18418,                0.08284,                0.02884,                 2.1265,                 4.3583,                 4.4612,                  2.847,              0.0089853,              0.0089853,              0.0089853
                     43,                 1.7717,                 3.6328,                 2.6799,                  2.286,                0.40513,                0.16545,                 0.0654,                0.02974,                0.42329,                0.10928,                0.05368,                0.01508,                 2.2181,                 4.5605,                 4.0227,                 2.9253,              0.0089605,              0.0089605,              0.0089605
