                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.5404,                 3.2381,                  2.217,                  2.021,                 0.3038,                0.28046,                0.24281,                0.13534,                 0.2932,                0.26922,                0.23667,                0.10557,                 1.8761,                 3.8026,                 2.9313,                  2.603,               0.007525,               0.007525,               0.007525
                    102,                 1.5624,                  3.237,                 2.2442,                  2.013,                0.26488,                0.25543,                0.14962,                0.07754,                0.25459,                0.23129,                 0.1388,                0.06033,                 1.9196,                 3.8979,                 2.8387,                 2.6338,              0.0075003,              0.0075003,              0.0075003
                    103,                 1.5522,                  3.205,                 2.2391,                 2.0206,                0.50713,                0.27759,                0.22012,                0.12927,                0.50133,                0.27385,                0.21424,                0.08981,                  1.781,                 3.9081,                 2.8647,                 2.4436,              0.0074755,              0.0074755,              0.0074755
                    104,                 1.5332,                 3.2534,                  2.229,                 2.0026,                0.25246,                0.28999,                0.20972,                0.11661,                0.25463,                0.29374,                0.21238,                0.09874,                 1.7643,                 3.6495,                 2.6442,                 2.4531,              0.0074507,              0.0074507,              0.0074507
                    105,                 1.5192,                 3.2554,                 2.1975,                 1.9826,                0.13904,                0.24017,                 0.1132,                0.05597,                 0.1429,                0.21993,                0.10528,                0.04689,                 1.9832,                 4.0125,                 3.3095,                 2.6776,               0.007426,               0.007426,               0.007426
                    106,                 1.5459,                  3.199,                 2.2193,                 2.0105,                0.28733,                0.32587,                0.28581,                0.15617,                0.29232,                 0.3034,                0.26228,                0.12272,                 1.7762,                 3.8916,                 2.5419,                 2.4817,              0.0074013,              0.0074013,              0.0074013
                    107,                 1.5414,                 3.2531,                 2.2386,                   2.04,                0.29555,                0.31169,                 0.2494,                0.14789,                0.31661,                 0.2604,                0.22549,                0.10031,                 1.7249,                 3.8614,                 2.7762,                 2.4234,              0.0073765,              0.0073765,              0.0073765
                    108,                 1.5121,                 3.2495,                 2.1966,                 1.9998,                0.23953,                0.30513,                0.17173,                0.09581,                0.21003,                0.24799,                0.14294,                0.05968,                 1.6968,                 4.0196,                 2.8675,                 2.4399,              0.0073517,              0.0073517,              0.0073517
                    109,                 1.5196,                 3.2163,                 2.1814,                 1.9821,                0.53504,                0.17732,                 0.1638,                 0.0886,                0.52644,                0.15859,                0.14785,                0.06112,                 1.7107,                 3.8986,                 2.9813,                 2.4768,               0.007327,               0.007327,               0.007327
                    110,                 1.5274,                 3.2222,                  2.148,                 2.0131,                0.19868,                0.22271,                0.11737,                0.05721,                0.43155,                0.18024,                0.10617,                0.04313,                 1.9545,                 4.1705,                 2.7793,                 2.6855,              0.0073023,              0.0073023,              0.0073023
                    111,                 1.5158,                 3.2081,                 2.1856,                 1.9897,                0.21906,                0.34063,                0.18016,                 0.0931,                0.18909,                0.22449,                0.15534,                0.06833,                 1.9002,                 4.2909,                 2.7668,                 2.5908,              0.0072775,              0.0072775,              0.0072775
                    112,                 1.4823,                 3.1338,                 2.1128,                 1.9421,                0.09457,                0.24914,                0.08933,                0.04783,                0.10962,                0.15913,                0.08578,                0.03911,                 2.1183,                 4.0105,                  4.065,                 2.7563,              0.0072527,              0.0072527,              0.0072527
                    113,                   1.54,                 3.1915,                 2.1802,                  2.009,                0.32046,                0.25422,                0.26545,                0.15369,                0.31252,                0.24673,                0.24781,                0.10755,                 1.8727,                 3.8147,                 2.9021,                 2.5753,               0.007228,               0.007228,               0.007228
                    114,                 1.5373,                 3.1433,                 2.1769,                 2.0473,                0.50839,                0.19238,                 0.1852,                0.09284,                0.50234,                0.18498,                0.16679,                  0.073,                 2.0583,                 3.9422,                 3.1169,                 2.7874,              0.0072033,              0.0072033,              0.0072033
                    115,                 1.5361,                 3.2692,                  2.204,                 2.0172,                0.34996,                0.20822,                0.18723,                0.09023,                0.32176,                0.18283,                0.16177,                0.06674,                  1.947,                 4.2768,                 3.2817,                 2.6502,              0.0071785,              0.0071785,              0.0071785
                    116,                 1.5358,                 3.2085,                 2.1095,                 1.9897,                0.36067,                0.31267,                0.21288,                0.11465,                0.30592,                0.26061,                0.17095,                0.07265,                 1.8409,                 3.9739,                 2.6619,                 2.4962,              0.0071538,              0.0071538,              0.0071538
                    117,                 1.4993,                 3.1145,                 2.1167,                 1.9494,                0.36154,                 0.2859,                0.27842,                0.15975,                0.36539,                0.27466,                0.24518,                0.11455,                 1.7309,                 4.0682,                 2.5919,                 2.4381,               0.007129,               0.007129,               0.007129
                    118,                 1.5551,                  3.206,                 2.1621,                 2.0313,                0.31422,                0.25339,                0.19831,                0.09672,                0.29386,                0.21993,                0.15915,                0.05912,                   1.88,                 4.1453,                 2.7381,                 2.5632,              0.0071042,              0.0071042,              0.0071042
                    119,                 1.5179,                 3.2431,                 2.1595,                 1.9856,                0.15556,                0.23935,                0.09702,                0.04667,                0.14509,                0.22062,                0.08342,                0.03044,                 1.7913,                 4.0341,                 3.0629,                  2.483,              0.0070795,              0.0070795,              0.0070795
                    120,                 1.5139,                 3.1885,                 2.1213,                 1.9532,                0.25198,                0.27576,                0.19729,                0.11224,                0.22834,                0.26535,                0.17377,                0.07473,                 1.7729,                 3.8165,                  2.639,                 2.4844,              0.0070547,              0.0070547,              0.0070547
                    121,                 1.5221,                 3.1102,                 2.0965,                 1.9615,                0.54388,                0.15174,                0.13727,                0.06911,                0.52404,                0.13758,                0.11471,                0.04996,                 1.9555,                 3.9526,                 3.0518,                 2.7717,                0.00703,                0.00703,                0.00703
                    122,                 1.4818,                 3.1228,                 2.1637,                 1.9344,                 0.1427,                0.33846,                0.18591,                0.10357,                0.18329,                0.33682,                0.18446,                0.08171,                 1.9183,                 3.6618,                 2.6266,                 2.5765,              0.0070053,              0.0070053,              0.0070053
                    123,                  1.477,                 3.1082,                  2.165,                 1.9335,                0.38371,                0.18535,                0.19937,                0.12014,                0.23994,                0.27781,                0.21402,                0.09518,                 1.7771,                 3.6266,                 2.6826,                 2.4375,              0.0069805,              0.0069805,              0.0069805
                    124,                 1.4595,                  3.057,                 2.1108,                 1.9245,                0.27932,                0.31784,                0.25447,                0.13767,                0.27656,                0.21911,                0.21486,                0.10147,                  1.737,                  3.872,                 2.4265,                 2.4358,              0.0069558,              0.0069558,              0.0069558
                    125,                 1.4667,                 3.1336,                  2.096,                 1.9115,                0.34796,                0.22899,                0.14456,                0.08028,                0.35782,                0.21694,                0.14017,                0.05637,                 1.8226,                 3.9338,                 2.9163,                 2.5509,               0.006931,               0.006931,               0.006931
                    126,                 1.4415,                 3.1712,                 2.1051,                 1.9132,                0.35802,                0.16713,                0.15456,                0.07663,                0.36108,                0.17127,                0.14738,                0.05665,                 1.9736,                 3.6998,                 2.7928,                 2.6871,              0.0069063,              0.0069063,              0.0069063
                    127,                 1.4357,                 3.1544,                 2.0576,                 1.9103,                0.34501,                0.21074,                0.18355,                 0.0826,                0.29034,                0.18827,                  0.152,                0.05927,                 2.0755,                 3.9787,                 2.8541,                 2.8377,              0.0068815,              0.0068815,              0.0068815
                    128,                 1.4543,                 3.0535,                 2.0183,                 1.9038,                0.29932,                0.25511,                0.20953,                0.10754,                0.29592,                  0.249,                0.18754,                0.08329,                 2.0013,                 3.6682,                 2.7266,                 2.7565,              0.0068568,              0.0068568,              0.0068568
                    129,                 1.4413,                 3.0612,                 2.0303,                 1.9023,                0.31929,                0.32323,                0.21569,                 0.1276,                0.29925,                 0.2599,                 0.1964,                0.08824,                 1.8225,                  3.927,                 2.5782,                 2.6197,               0.006832,               0.006832,               0.006832
                    130,                 1.4722,                 3.0695,                 1.9847,                 1.9293,                0.12211,                0.27421,                0.15604,                0.07875,                0.11041,                0.23935,                0.11749,                0.05326,                 1.8555,                 4.0487,                 2.9288,                 2.5852,              0.0068073,              0.0068073,              0.0068073
                    131,                   1.45,                 3.0566,                 2.0244,                 1.9224,                0.26422,                0.38551,                0.25371,                0.13082,                0.32765,                0.35745,                 0.2357,                0.10588,                 1.7663,                 3.6686,                 2.5628,                 2.4568,              0.0067825,              0.0067825,              0.0067825
                    132,                 1.4444,                 3.0451,                 2.0192,                 1.9237,                0.32631,                0.31148,                0.21962,                0.12064,                0.30084,                0.28337,                0.20096,                0.08071,                 1.8454,                 3.6696,                 2.5824,                 2.5649,              0.0067577,              0.0067577,              0.0067577
                    133,                 1.4456,                 3.0488,                 2.0076,                  1.881,                0.36879,                0.27253,                 0.2348,                0.12017,                0.37121,                0.27032,                0.22493,                0.08447,                 1.8651,                 3.4945,                 2.6822,                 2.5766,               0.006733,               0.006733,               0.006733
                    134,                 1.4544,                 3.0181,                  1.948,                 1.8784,                0.28371,                0.25603,                0.22728,                0.13135,                0.29282,                 0.2627,                0.23876,                0.09843,                 1.8235,                 3.6184,                 2.9327,                 2.4844,              0.0067082,              0.0067082,              0.0067082
                    135,                 1.4996,                 3.0657,                 2.0145,                 2.0085,                0.29909,                0.24444,                0.16079,                0.08201,                0.31345,                0.26528,                 0.1551,                0.06879,                 1.7846,                   3.63,                 2.6659,                 2.4612,              0.0066835,              0.0066835,              0.0066835
                    136,                 1.4469,                 3.0226,                 2.0098,                 1.9103,                0.16693,                0.26833,                0.11638,                0.05614,                0.15452,                0.21788,                0.10624,                0.04102,                    nan,                    nan,                    nan,                    nan,              0.0066587,              0.0066587,              0.0066587
                    137,                 1.4999,                 3.1055,                 2.1489,                 1.9535,                 0.1107,                0.14251,                0.04063,                0.02025,                0.10199,                0.12575,                0.03411,                0.01186,                    nan,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                    138,                 1.4674,                 3.0621,                 2.0581,                 1.9437,                0.00028,                0.01042,                0.00015,                  1e-05,                0.00028,                0.01042,                0.00015,                  1e-05,                    nan,                    nan,                    nan,                    nan,              0.0066092,              0.0066092,              0.0066092
                    139,                 1.4169,                 3.0027,                  1.952,                 1.8748,                0.44602,                0.04767,                0.03135,                0.01363,                0.43436,                0.04208,                0.02598,                0.01079,                    nan,                    nan,                    nan,                    nan,              0.0065845,              0.0065845,              0.0065845
                    140,                 1.3978,                 3.0598,                 1.9349,                 1.8583,                0.23587,                0.27671,                0.18008,                0.10929,                0.25931,                 0.2684,                0.17099,                0.07518,                 1.9025,                 3.8688,                    nan,                 2.5886,              0.0065598,              0.0065598,              0.0065598
                    141,                 1.4092,                 2.9996,                 1.9742,                 1.8569,                0.28061,                0.25943,                0.18867,                0.11015,                0.28506,                0.27067,                0.20521,                0.09251,                 1.7033,                 3.6902,                 2.6231,                 2.4064,               0.006535,               0.006535,               0.006535
                    142,                 1.3817,                 2.9654,                 1.9157,                 1.8414,                0.20561,                0.25049,                0.12753,                0.06532,                 0.1714,                0.28508,                0.11662,                0.04509,                 1.7867,                 3.7972,                 2.8234,                 2.4795,              0.0065102,              0.0065102,              0.0065102
                    143,                  1.453,                 3.0298,                 2.0092,                 1.9234,                0.31641,                 0.2378,                0.19674,                0.09827,                0.29758,                0.21907,                0.17271,                0.07122,                 1.9558,                 3.8806,                    nan,                  2.674,              0.0064855,              0.0064855,              0.0064855
                    144,                 1.4272,                 3.0337,                 1.9555,                 1.8807,                0.22639,                0.17029,                0.15971,                0.06592,                0.22348,                0.14864,                0.13055,                0.04795,                 1.8219,                 3.8516,                  2.655,                 2.5522,              0.0064608,              0.0064608,              0.0064608
                    145,                 1.4116,                 2.9856,                 1.9299,                 1.8628,                0.14682,                 0.2596,                0.12216,                0.06523,                0.13645,                0.24246,                0.11799,                0.04773,                 1.7502,                 3.7282,                 2.8497,                 2.4761,               0.006436,               0.006436,               0.006436
                    146,                 1.3956,                 2.9717,                  1.924,                 1.8635,                0.22287,                  0.342,                0.23224,                0.13686,                0.31909,                0.32035,                0.22917,                 0.0976,                 1.7609,                 3.8598,                 3.1678,                 2.4889,              0.0064112,              0.0064112,              0.0064112
                    147,                 1.4531,                 3.0223,                 2.0142,                 1.9153,                0.29816,                  0.323,                 0.2304,                0.12629,                0.32791,                0.30632,                0.22573,                0.09556,                 1.6851,                 3.9378,                 2.6868,                 2.3862,              0.0063865,              0.0063865,              0.0063865
                    148,                 1.4232,                 3.0267,                 1.9691,                 1.9023,                 0.2866,                0.36672,                0.24987,                0.14049,                0.31965,                0.31797,                0.24348,                0.09998,                  1.709,                 3.5724,                 2.4151,                 2.4268,              0.0063618,              0.0063618,              0.0063618
                    149,                  1.385,                 2.9758,                 1.9166,                 1.8852,                0.30358,                0.28577,                 0.2278,                0.12072,                0.26498,                0.26037,                0.19666,                0.07793,                 1.7305,                   3.79,                 2.5027,                 2.4583,               0.006337,               0.006337,               0.006337
                    150,                 1.3846,                 3.0148,                 1.8831,                 1.8996,                0.41689,                0.28379,                0.31375,                0.18539,                0.41117,                0.28005,                0.30131,                0.14252,                 1.7449,                 3.5404,                 2.2019,                 2.4721,              0.0063122,              0.0063122,              0.0063122
                    151,                 1.3935,                 2.9837,                 1.8996,                 1.8382,                0.24929,                0.39078,                0.24307,                0.13629,                0.24461,                0.36699,                0.23296,                0.11248,                 1.8057,                 3.5638,                 2.6479,                 2.4732,              0.0062875,              0.0062875,              0.0062875
                    152,                 1.3565,                 2.9859,                 1.8693,                 1.8522,                0.30026,                0.36846,                0.24586,                0.13308,                0.26264,                0.31621,                0.23138,                0.10464,                 1.8013,                 3.6138,                 2.5312,                 2.4917,              0.0062628,              0.0062628,              0.0062628
                    153,                 1.3773,                 2.9569,                 1.8514,                 1.8615,                0.24854,                0.37548,                0.21949,                 0.1154,                0.17897,                0.35461,                0.19807,                0.08437,                  1.751,                 3.9296,                 2.6494,                 2.4305,               0.006238,               0.006238,               0.006238
                    154,                  1.388,                 2.9012,                 1.8434,                 1.8467,                0.36553,                0.23696,                0.20683,                0.10451,                0.35576,                0.22198,                0.19336,                  0.075,                  1.846,                 3.7832,                 2.5258,                 2.5231,              0.0062132,              0.0062132,              0.0062132
                    155,                 1.3757,                 2.9138,                 1.8612,                 1.8157,                 0.4487,                 0.2554,                0.23095,                0.14898,                0.44815,                0.25113,                0.22229,                0.10857,                 1.7777,                 3.6099,                 3.0735,                 2.4504,              0.0061885,              0.0061885,              0.0061885
                    156,                  1.335,                 2.8633,                  1.836,                 1.8025,                0.31413,                0.42276,                0.25365,                0.12772,                0.30428,                0.39068,                0.24126,                0.10345,                 1.9568,                 3.4878,                 2.4452,                 2.6302,              0.0061637,              0.0061637,              0.0061637
                    157,                 1.3358,                 2.9281,                 1.8411,                 1.8125,                0.28151,                0.33711,                0.24441,                0.12434,                0.17806,                 0.2787,                0.19222,                0.08724,                 1.7684,                 3.5308,                   2.44,                  2.441,               0.006139,               0.006139,               0.006139
                    158,                 1.3471,                 2.9052,                   1.83,                 1.7957,                0.27274,                0.41834,                0.26281,                0.13628,                0.26092,                0.37796,                0.22687,                0.08403,                 1.7695,                  3.753,                 2.5036,                 2.4994,              0.0061142,              0.0061142,              0.0061142
                    159,                   1.35,                  2.891,                 1.7825,                 1.8139,                0.24319,                0.45947,                0.28065,                0.15365,                0.23443,                0.43296,                0.27138,                0.11471,                 1.6823,                 3.6162,                  2.204,                 2.3473,              0.0060895,              0.0060895,              0.0060895
                    160,                 1.3448,                 2.9036,                 1.8133,                 1.7802,                0.27067,                0.43039,                0.26439,                0.14254,                0.23667,                0.38123,                0.23784,                0.10562,                 1.6792,                 3.5893,                  2.443,                 2.3827,              0.0060647,              0.0060647,              0.0060647
                    161,                 1.3439,                 2.8197,                 1.8981,                 1.8245,                0.28416,                 0.3066,                0.22707,                0.12085,                0.28691,                0.27585,                0.18811,                0.08191,                 1.6842,                 3.7384,                 2.5423,                 2.4284,                0.00604,                0.00604,                0.00604
                    162,                 1.3505,                 2.8608,                 1.8075,                 1.8068,                0.19942,                0.24854,                0.15694,                0.08591,                 0.1795,                 0.2194,                0.13417,                0.06511,                 1.6719,                 3.8016,                 2.7314,                 2.4034,              0.0060152,              0.0060152,              0.0060152
                    163,                 1.3579,                  2.819,                 1.8337,                 1.8448,                0.26953,                0.31076,                0.22465,                0.11139,                0.25153,                0.30182,                0.19011,                0.08831,                 1.6902,                 3.6383,                 2.6035,                 2.3776,              0.0059905,              0.0059905,              0.0059905
                    164,                 1.3294,                 2.8139,                 1.7852,                 1.8144,                0.29829,                0.35778,                 0.2465,                0.13038,                0.29289,                0.34654,                 0.2326,                0.10763,                 1.7171,                 3.4282,                 2.3637,                   2.42,              0.0059658,              0.0059658,              0.0059658
                    165,                 1.3048,                 2.7734,                 1.7822,                 1.7788,                 0.2619,                0.32172,                0.24665,                0.14906,                0.28028,                0.32464,                0.25157,                0.11315,                 1.7595,                  3.464,                 2.3886,                  2.456,               0.005941,               0.005941,               0.005941
                    166,                 1.3664,                 2.8645,                 1.7909,                 1.8298,                0.22637,                 0.2997,                0.20225,                0.11152,                0.22213,                0.28567,                0.19234,                0.08256,                 1.6436,                 3.5084,                 2.5138,                 2.3969,              0.0059163,              0.0059163,              0.0059163
                    167,                 1.2761,                 2.7832,                 1.7669,                 1.7813,                0.47006,                0.27924,                0.30027,                0.16498,                0.45501,                0.25622,                0.27592,                0.12829,                 1.6854,                 3.4963,                 2.2959,                 2.4251,              0.0058915,              0.0058915,              0.0058915
                    168,                  1.295,                 2.8117,                 1.7763,                 1.7668,                0.24178,                 0.3162,                0.24518,                0.12582,                0.25485,                0.31995,                0.25214,                0.10814,                 1.8901,                  3.637,                 2.5238,                 2.6093,              0.0058668,              0.0058668,              0.0058668
                    169,                 1.3287,                 2.8461,                 1.7574,                 1.7975,                0.24043,                0.27834,                0.22623,                0.12723,                0.19815,                0.26793,                0.21005,                0.09845,                  1.952,                 3.7974,                 2.5707,                 2.6208,               0.005842,               0.005842,               0.005842
                    170,                  1.305,                 2.8448,                 1.7818,                 1.7871,                0.39589,                0.18629,                0.22927,                0.12494,                0.39291,                0.18629,                0.21915,                0.09652,                 1.8344,                 3.7249,                 2.4686,                 2.5327,              0.0058173,              0.0058173,              0.0058173
                    171,                 1.2986,                 2.7875,                 1.7437,                 1.7632,                0.22827,                0.27658,                0.20798,                0.10427,                0.22152,                0.27284,                0.19433,                0.08287,                 1.8785,                 3.5401,                 2.4336,                 2.5346,              0.0057925,              0.0057925,              0.0057925
                    172,                 1.2937,                 2.8111,                 1.7094,                 1.7703,                0.32673,                0.39423,                0.29819,                0.17444,                0.31202,                0.38674,                 0.2724,                0.12649,                 1.7346,                 3.7165,                 2.3889,                 2.4019,              0.0057678,              0.0057678,              0.0057678
                    173,                 1.3638,                 2.8322,                 1.7936,                 1.7973,                0.21579,                 0.4139,                0.20624,                0.12096,                0.27328,                0.33367,                0.20709,                 0.0818,                 1.7776,                 3.7584,                 2.9553,                 2.4957,               0.005743,               0.005743,               0.005743
                    174,                 1.3573,                 2.8468,                 1.7852,                 1.8316,                0.25548,                0.37556,                0.22524,                0.11282,                0.24208,                0.37645,                0.20205,                0.07509,                 1.9973,                 3.7274,                 2.7202,                 2.6953,              0.0057183,              0.0057183,              0.0057183
                    175,                 1.3383,                  2.869,                 1.8018,                 1.8121,                0.28978,                0.37509,                0.30388,                0.16997,                0.29443,                0.34465,                0.27473,                0.11489,                 1.7837,                 3.7422,                 2.3108,                 2.5246,              0.0056935,              0.0056935,              0.0056935
                    176,                 1.3336,                  2.857,                 1.7821,                 1.8037,                0.29895,                 0.3791,                0.25803,                0.15323,                0.24335,                0.36134,                0.23512,                0.10705,                 1.6977,                 3.5194,                 2.3405,                 2.4165,              0.0056688,              0.0056688,              0.0056688
                    177,                 1.3177,                  2.834,                 1.7549,                 1.8003,                0.26866,                0.45116,                0.28215,                0.14674,                0.27301,                 0.4099,                0.27087,                0.11582,                 1.6446,                 3.4166,                 2.2989,                 2.3726,               0.005644,               0.005644,               0.005644
                    178,                 1.2793,                 2.7672,                 1.7091,                 1.7662,                0.36245,                0.35291,                 0.3113,                0.19589,                0.35529,                0.34167,                0.30509,                0.14248,                 1.6191,                 3.7476,                 2.3653,                 2.3123,              0.0056193,              0.0056193,              0.0056193
                    179,                 1.2572,                 2.7989,                 1.6832,                 1.7239,                0.36472,                0.28493,                0.28331,                0.15372,                0.28077,                0.29711,                0.25346,                0.12272,                 1.8637,                 3.7617,                 2.6167,                 2.5665,              0.0055945,              0.0055945,              0.0055945
                    180,                 1.3056,                 2.8329,                  1.718,                 1.7753,                0.32868,                0.27957,                0.24919,                0.14454,                0.36164,                0.23831,                0.22352,                0.10076,                 1.8601,                  3.818,                 2.7172,                 2.6603,              0.0055698,              0.0055698,              0.0055698
                    181,                 1.2757,                 2.7552,                  1.665,                 1.7584,                 0.3653,                0.34091,                0.29081,                0.17873,                0.33624,                0.30567,                0.26521,                0.13429,                  1.802,                 3.6649,                  2.715,                 2.5106,               0.005545,               0.005545,               0.005545
                    182,                 1.2873,                 2.7618,                 1.7245,                 1.7682,                 0.4863,                0.34223,                 0.3338,                 0.1804,                0.43426,                0.31602,                0.30028,                0.13064,                 1.7343,                 3.5653,                 2.4954,                 2.4767,              0.0055202,              0.0055202,              0.0055202
                    183,                 1.2828,                 2.7688,                 1.6497,                  1.744,                0.33298,                0.35406,                0.27457,                0.13285,                0.26754,                0.31825,                0.22275,                0.09605,                 1.8035,                 3.6768,                 2.5341,                   2.58,              0.0054955,              0.0054955,              0.0054955
                    184,                 1.2398,                 2.7137,                  1.595,                 1.6881,                0.36201,                0.36672,                0.25189,                0.12384,                0.35906,                0.35923,                0.24592,                0.09146,                 1.8973,                 3.5617,                 2.6256,                  2.641,              0.0054707,              0.0054707,              0.0054707
                    185,                 1.2412,                 2.7001,                 1.6011,                 1.7009,                0.38015,                0.20702,                0.22499,                0.11125,                0.32723,                0.18537,                0.19715,                0.07944,                 1.8036,                 3.8235,                 3.0907,                 2.5622,               0.005446,               0.005446,               0.005446
                    186,                 1.2307,                 2.7361,                 1.6274,                 1.7067,                0.29722,                0.29653,                0.25226,                0.12144,                0.32688,                0.23429,                0.21653,                0.08186,                 1.8214,                 3.8005,                 2.6194,                 2.5385,              0.0054212,              0.0054212,              0.0054212
                    187,                 1.2555,                 2.7248,                 1.6226,                 1.7142,                0.46065,                0.29873,                0.29429,                0.18283,                0.46041,                 0.2978,                0.28976,                  0.132,                 1.6785,                 3.5251,                 2.2723,                 2.3865,              0.0053965,              0.0053965,              0.0053965
                    188,                 1.2914,                  2.766,                 1.6809,                 1.7643,                0.36487,                0.36374,                 0.3207,                0.17081,                0.34521,                0.32159,                0.28308,                0.11892,                  1.747,                 3.5983,                 2.3293,                 2.4682,              0.0053717,              0.0053717,              0.0053717
                    189,                 1.2736,                 2.7216,                 1.6273,                  1.736,                0.41092,                0.42554,                0.38379,                0.21007,                0.45073,                0.40089,                0.37126,                0.16839,                 1.8071,                 3.4065,                 2.4103,                 2.4745,               0.005347,               0.005347,               0.005347
                    190,                 1.2808,                 2.6652,                  1.657,                 1.7129,                  0.399,                0.39864,                0.32818,                0.17511,                0.36451,                0.37201,                0.29505,                0.12555,                 1.7666,                 3.5366,                 2.2782,                 2.4626,              0.0053223,              0.0053223,              0.0053223
                    191,                 1.2332,                 2.6984,                 1.6248,                 1.7165,                0.34048,                 0.3045,                0.26067,                0.14742,                0.32642,                0.31199,                0.23618,                0.10285,                 1.7664,                 3.4444,                 2.5012,                 2.6295,              0.0052975,              0.0052975,              0.0052975
                    192,                 1.2439,                 2.6694,                 1.5721,                 1.7351,                0.50879,                0.32206,                0.33002,                0.18954,                0.52551,                0.31171,                0.31711,                0.14044,                 1.7359,                 3.3521,                 2.1958,                 2.5275,              0.0052727,              0.0052727,              0.0052727
                    193,                  1.252,                 2.7292,                 1.6176,                 1.7245,                0.31262,                0.38756,                0.26618,                 0.1583,                0.32254,                0.38674,                0.28037,                0.13245,                 1.7227,                  3.411,                 2.4783,                 2.4517,               0.005248,               0.005248,               0.005248
                    194,                 1.2555,                 2.7578,                 1.6228,                 1.7329,                0.38963,                0.33347,                0.33054,                0.18365,                0.39907,                0.32553,                0.30438,                0.13857,                 1.6673,                 3.4061,                 2.2871,                 2.3814,              0.0052233,              0.0052233,              0.0052233
