                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3035,                 1.7031,                 1.7434,                0.55341,                 0.4882,                0.51537,                 0.3432,                 1.2022,                  1.673,                  1.696,              0.0086932,              0.0086932,              0.0086932
                     35,                 1.3017,                 1.6912,                 1.7469,                0.63374,                0.36767,                0.44968,                0.30571,                 1.2351,                  1.683,                 1.7639,              0.0086536,              0.0086536,              0.0086536
                     36,                   1.29,                 1.6851,                 1.7451,                0.64223,                0.38453,                0.42162,                0.30139,                 1.2246,                  1.677,                 1.7706,               0.008614,               0.008614,               0.008614
                     37,                 1.2751,                 1.6489,                 1.7166,                0.57958,                 0.4269,                0.46024,                0.31602,                 1.3219,                 1.6549,                 1.8303,              0.0085744,              0.0085744,              0.0085744
                     38,                 1.2925,                 1.6827,                 1.7407,                0.62893,                0.37693,                0.38351,                0.25884,                 1.3693,                 2.1745,                 1.9475,              0.0085348,              0.0085348,              0.0085348
                     39,                 1.2965,                 1.6824,                 1.7434,                0.57159,                0.50944,                0.50977,                0.34521,                 1.2088,                 1.5815,                 1.7497,              0.0084952,              0.0084952,              0.0084952
                     40,                 1.2902,                 1.6685,                  1.736,                0.63183,                0.33727,                0.39976,                0.29182,                  1.312,                 2.0267,                 1.8257,              0.0084556,              0.0084556,              0.0084556
                     41,                 1.2798,                 1.6478,                 1.7287,                 0.6265,                0.39047,                0.43641,                0.30763,                 1.3593,                 1.8036,                 1.9017,               0.008416,               0.008416,               0.008416
                     42,                 1.2599,                 1.6179,                 1.7042,                0.56457,                0.35592,                0.43108,                0.29868,                 1.2967,                 2.0223,                 1.8297,              0.0083764,              0.0083764,              0.0083764
                     43,                 1.2716,                 1.6415,                 1.7161,                0.63125,                 0.3902,                0.41742,                0.29525,                 1.2541,                 1.8063,                 1.7699,              0.0083368,              0.0083368,              0.0083368
                     44,                 1.2574,                 1.6145,                 1.6938,                0.53379,                0.40993,                0.41663,                0.28335,                 1.3654,                 1.9942,                 1.9209,              0.0082972,              0.0082972,              0.0082972
                     45,                 1.2762,                 1.6361,                 1.7269,                0.60074,                0.39291,                0.44695,                0.30779,                 1.3064,                 1.7446,                  1.838,              0.0082576,              0.0082576,              0.0082576
                     46,                 1.2829,                 1.6583,                 1.7378,                0.69357,                0.33392,                0.37833,                0.26982,                 1.3692,                 2.1055,                 1.8962,               0.008218,               0.008218,               0.008218
                     47,                 1.2744,                 1.6322,                 1.7156,                0.63888,                 0.3962,                0.43976,                0.30743,                 1.2357,                 1.6595,                 1.7493,              0.0081784,              0.0081784,              0.0081784
                     48,                 1.2706,                 1.6292,                  1.717,                0.51224,                0.43188,                0.48418,                0.33613,                 1.2038,                 1.6553,                  1.724,              0.0081388,              0.0081388,              0.0081388
                     49,                 1.2638,                 1.6296,                 1.7153,                0.64274,                 0.4594,                0.49394,                0.32816,                 1.2652,                 1.6995,                 1.7807,              0.0080992,              0.0080992,              0.0080992
                     50,                 1.2724,                  1.639,                 1.7139,                0.63866,                 0.3989,                0.43808,                0.29635,                 1.3743,                 1.6889,                  1.878,              0.0080596,              0.0080596,              0.0080596
